rsu_id,rsu_position_x,rsu_position_y,vehicle_id,vehicle_type,speed,edge_id,lane_id,lane_position,vehicles_ahead_count,same_direction_ahead,distance_to_traffic_light,next_traffic_light,traffic_light_state,edge_occupancy_percentage,battery_charge,battery_capacity,battery_percentage,sim_time,position,rsu_position,collection_timestamp
RSU_Dhormotola,-194.59,27.16,r2_v1,EV,7.698737603,E3,E3_0,863.1007472,9,4,1027.2,J1,GGgrrGGG,4.76,928.88,2000,46.444,135,"(-211.22393325643964, 118.99439167561056)","(-194.59, 27.16)",2025-11-29T09:35:51Z
RSU_Dhormotola,-194.59,27.16,r2_v2,EV,13.68642312,E3,E3_0,1351.172727,2,1,539.1,J1,GGgrrGGG,4.76,1342.2,3000,44.74,135,"(-206.2329100406208, 80.1196655828177)","(-194.59, 27.16)",2025-11-29T09:35:51Z
RSU_Dhormotola,-194.59,27.16,r3_v1,EV,12.24574822,E3,E3_1,1293.486122,3,1,596.8,J1,GGgrrGGG,4.76,1362.04,3000,45.40133333,135,"(-203.64597033012575, 85.12437915738023)","(-194.59, 27.16)",2025-11-29T09:35:51Z
RSU_Dhormotola,-194.59,27.16,r3_v5,EV,13.13365576,E3,E3_1,1027.640668,8,4,862.6,J1,GGgrrGGG,4.76,1372.04,3000,45.73466667,135,"(-206.36591186273503, 106.2988567762868)","(-194.59, 27.16)",2025-11-29T09:35:51Z
RSU_Dhormotola,-194.59,27.16,test_route2_dhormotola,EV,12.83586539,E3,E3_0,1609.090447,1,0,281.2,J1,GGgrrGGG,4.76,1330.51,3000,44.35033333,135,"(-203.5954438809249, 59.576628593484514)","(-194.59, 27.16)",2025-11-29T09:35:52Z
RSU_Dhormotola,-194.59,27.16,test_route3_chachra,EV,13.73304479,E3,E3_1,1653.489562,0,0,236.8,J1,GGgrrGGG,4.76,1314.75,3000,43.825,135,"(-199.96267128111316, 56.45025791542912)","(-194.59, 27.16)",2025-11-29T09:35:52Z
RSU_Dhormotola,-194.59,27.16,r1_v1,EV,11.31919842,E0,E0_0,1314.516795,3,1,1095.6,J3,GGgrrGGG,1.87,1368.96,3000,45.632,140,"(-133.29751181939014, 115.23775205751795)","(-194.59, 27.16)",2025-11-29T09:36:00Z
RSU_Dhormotola,-194.59,27.16,r1_v5,EV,12.70592814,E0,E0_1,1296.144812,4,2,1114,J3,GGgrrGGG,1.87,1351.89,3000,45.063,140,"(-132.1676339437578, 118.52800544576753)","(-194.59, 27.16)",2025-11-29T09:36:00Z
RSU_Dhormotola,-194.59,27.16,r2_v1,EV,7.536370447,E3,E3_0,900.9568901,9,3,989.3,J1,GGgrrGGG,4.76,927.08,2000,46.354,140,"(-210.8368164056267, 115.97916596126002)","(-194.59, 27.16)",2025-11-29T09:36:00Z
RSU_Dhormotola,-194.59,27.16,r2_v2,EV,13.533592,E3,E3_0,1419.652976,2,0,470.6,J1,GGgrrGGG,4.76,1337.61,3000,44.587,140,"(-205.5326311308231, 74.66524278617301)","(-194.59, 27.16)",2025-11-29T09:36:00Z
RSU_Dhormotola,-194.59,27.16,r3_v1,EV,12.09412285,E3,E3_1,1354.088842,3,2,536.2,J1,GGgrrGGG,4.76,1358.33,3000,45.27766667,140,"(-203.02592641767572, 80.29739821330186)","(-194.59, 27.16)",2025-11-29T09:36:00Z
RSU_Dhormotola,-194.59,27.16,r3_v5,EV,13.20412397,E3,E3_1,1094.125157,8,5,796.2,J1,GGgrrGGG,4.76,1366.17,3000,45.539,140,"(-205.68568988160402, 101.00339547953986)","(-194.59, 27.16)",2025-11-29T09:36:00Z
RSU_Dhormotola,-194.59,27.16,test_route2_dhormotola,EV,12.62304373,E3,E3_1,1672.390178,1,1,217.9,J1,GGgrrGGG,4.76,1326.95,3000,44.23166667,140,"(-199.76929362464162, 54.94483185760299)","(-194.59, 27.16)",2025-11-29T09:36:00Z
RSU_Dhormotola,-194.59,27.16,test_route3_chachra,EV,13.71982296,E3,E3_1,1722.115494,0,0,168.2,J1,GGgrrGGG,4.76,1309.15,3000,43.63833333,140,"(-199.26053957285535, 50.98423154545523)","(-194.59, 27.16)",2025-11-29T09:36:00Z
RSU_Dhormotola,-194.59,27.16,r2_v1,EV,7.324058302,E3,E3_0,938.2630819,9,3,952,J1,GGgrrGGG,4.76,925.5,2000,46.275,145,"(-210.45532335218098, 113.00774360602001)","(-194.59, 27.16)",2025-11-29T09:36:09Z
RSU_Dhormotola,-194.59,27.16,r2_v2,EV,13.82930209,E3,E3_0,1487.854226,2,0,402.4,J1,GGgrrGGG,4.76,1329.81,3000,44.327,145,"(-204.83520526453165, 69.2330421431912)","(-194.59, 27.16)",2025-11-29T09:36:09Z
RSU_Dhormotola,-194.59,27.16,r3_v1,EV,12.29891619,E3,E3_1,1414.835884,3,2,475.4,J1,GGgrrGGG,4.76,1352.26,3000,45.07533333,145,"(-202.4044059119231, 75.45892213542623)","(-194.59, 27.16)",2025-11-29T09:36:09Z
RSU_Dhormotola,-194.59,27.16,r3_v2,EV,7.76181706,E3,E3_0,855.4475528,10,4,1034.8,J1,GGgrrGGG,4.76,929.11,2000,46.4555,145,"(-211.30219480903995, 119.60396536208243)","(-194.59, 27.16)",2025-11-29T09:36:09Z
RSU_Dhormotola,-194.59,27.16,r3_v5,EV,13.26787631,E3,E3_1,1160.886335,8,5,729.4,J1,GGgrrGGG,4.76,1360.31,3000,45.34366667,145,"(-205.00263700663174, 95.68589595235153)","(-194.59, 27.16)",2025-11-29T09:36:09Z
