rsu_id,rsu_position_x,rsu_position_y,vehicle_id,vehicle_type,speed,edge_id,lane_id,lane_position,vehicles_ahead_count,same_direction_ahead,distance_to_traffic_light,next_traffic_light,traffic_light_state,time_to_red_light,edge_occupancy_percentage,battery_charge,battery_capacity,battery_percentage,sim_time,position,rsu_position,collection_timestamp
RSU_Dhormotola,-194.59,27.16,R1_Easybike_ER-02B,EV,13.58026414187625,E3,E3_0,942.2431923944073,0,0,948.0,J1,rrrrrrrr,0.0,5.95,1374.92,3000.0,45.83066666666667,80.0,"(-210.41462274954827, 112.69072949674019)","(-194.59, 27.16)",2025-12-01T20:47:21Z
RSU_Dhormotola,-194.59,27.16,R1_Default_EV,EV,13.798143407073804,E3,E3_0,848.5698261325704,1,1,1041.7,J1,rrrrrrrr,0.0,5.95,17381.32,35000.0,49.660914285714284,85.0,"(-211.37252643040048, 120.15177337615603)","(-194.59, 27.16)",2025-12-01T20:47:30Z
RSU_Dhormotola,-194.59,27.16,R1_Easybike_ER-02B,EV,13.401393259852194,E3,E3_0,1010.5254984732286,0,0,879.8,J1,rrrrrrrr,0.0,5.95,1370.52,3000.0,45.684,85.0,"(-209.71636800606922, 107.25207278808998)","(-194.59, 27.16)",2025-12-01T20:47:30Z
RSU_Dhormotola,-194.59,27.16,R1_Default_EV,EV,13.644169807061553,E3,E3_0,916.656201360816,1,1,973.6,J1,rrrrrrrr,0.0,5.95,17376.77,35000.0,49.64791428571429,90.0,"(-210.67627527545943, 114.72872247662546)","(-194.59, 27.16)",2025-12-01T20:47:38Z
RSU_Dhormotola,-194.59,27.16,R1_Easybike_ER-02B,EV,13.591932599293068,E3,E3_0,1078.6195722191167,0,0,811.7,J1,rrrrrrrr,0.0,5.95,1363.54,3000.0,45.45133333333333,90.0,"(-209.0200381261001, 101.82840870489548)","(-194.59, 27.16)",2025-12-01T20:47:38Z
RSU_Dhormotola,-194.59,27.16,R1_Default_EV,EV,13.680231717391871,E3,E3_0,984.6932826304796,1,1,905.6,J1,rrrrrrrr,0.0,5.95,17370.93,35000.0,49.63122857142857,95.0,"(-209.98052820045328, 109.3095978199817)","(-194.59, 27.16)",2025-12-01T20:47:46Z
RSU_Dhormotola,-194.59,27.16,R1_Easybike_ER-02B,EV,13.633673819806427,E3,E3_0,1146.829075961867,0,0,743.5,J1,rrrrrrrr,0.0,5.95,1357.51,3000.0,45.25033333333333,95.0,"(-208.32252785918337, 96.39555067142504)","(-194.59, 27.16)",2025-12-01T20:47:46Z
RSU_Dhormotola,-194.59,27.16,R1_Default_EV,EV,13.776610980019905,E3,E3_0,1053.2573259599264,1,1,837.0,J1,rrrGGGrr,55.0,5.95,17364.57,35000.0,49.613057142857144,100.0,"(-209.27939241233818, 103.84850085885346)","(-194.59, 27.16)",2025-12-01T20:47:54Z
RSU_Dhormotola,-194.59,27.16,R1_Easybike_ER-02B,EV,13.645206926949323,E3,E3_0,1215.4627977817133,0,0,674.8,J1,rrrGGGrr,55.0,5.95,1351.78,3000.0,45.059333333333335,100.0,"(-207.62067953894635, 90.92890384809935)","(-194.59, 27.16)",2025-12-01T20:47:54Z
RSU_Dhormotola,-194.59,27.16,R1_Default_EV,EV,13.749126256536693,E3,E3_0,1122.0592644552928,1,1,768.2,J1,rrrGGGrr,50.0,6.75,17359.05,35000.0,49.59728571428571,105.0,"(-208.57582390866918, 98.36845564869286)","(-194.59, 27.16)",2025-12-01T20:48:02Z
