id,ts_utc,rsu_id,rsu_position_x,rsu_position_y,vehicle_id,speed,battery_charge,battery_capacity,battery_percentage,sim_time,collection_timestamp,rsu_received_at
66,2025-11-15T23:35:51Z,RSU_Monihar,79.98,-8.38,t_11_Small_Easybike_V12,7.361051834276878,974.8,2000.0,48.74,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
116,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_1_Easybike_ER-02B,13.57382999113761,1428.37,3000.0,47.61233333333333,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
117,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_1_Electric_Rickshaw_V8,7.379536524736323,1226.97,2500.0,49.0788,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
118,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_1_Small_Easybike_V12,7.538810756728053,974.63,2000.0,48.7315,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
119,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_2_Easybike_ER-02B,13.89008259177208,1425.97,3000.0,47.532333333333334,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
120,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_2_Electric_Rickshaw_V8,7.625908181625419,1225.92,2500.0,49.0368,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
121,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_2_Small_Easybike_V12,7.531882893033326,974.4,2000.0,48.72,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
122,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_3_Easybike_ER-02B,12.401846393399545,1449.84,3000.0,48.327999999999996,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
123,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_3_Electric_Rickshaw_V8,7.513830429147929,1232.09,2500.0,49.28359999999999,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
124,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_3_Small_Easybike_V12,7.506376673090272,980.24,2000.0,49.012,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
